Data Point,API Endpoint,Placeholder Values
"Player Metadata (e.g., name, team, position)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes?limit=1000&active=true","N/A (This endpoint provides comprehensive player information.)"
"Weekly Game Schedule and Event IDs","https://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?dates={YEAR}&seasontype=2&week={WEEK_NUM}","- {YEAR}: The specific season year (e.g., 2025). - {WEEK_NUM}: The week number within the season (e.g., 1–18). These values are determined based on the season and week you are interested in."
"Game Summary with Player Statistics","https://site.api.espn.com/apis/site/v2/sports/football/nfl/summary?event={EVENT_ID}","- {EVENT_ID}: Unique identifier for a specific game. To obtain {EVENT_ID}, use the 'Weekly Game Schedule and Event IDs' endpoint above, which provides a list of games and their corresponding event IDs for a given week."
"Team Rosters","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/teams/{TEAM_ID}/athletes?limit=200","- {YEAR}: The specific season year. - {TEAM_ID}: Unique identifier for a team. To obtain {TEAM_ID}, refer to the 'Team List with IDs' endpoint below, which provides a list of all NFL teams and their corresponding IDs."
"Seasonal Player Statistics","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/types/{SEASONTYPE}/athletes/{ATHLETE_ID}/statistics","- {YEAR}: The specific season year. - {SEASONTYPE}: Type of season (1=Preseason, 2=Regular Season, 3=Postseason, 4=Offseason). - {ATHLETE_ID}: Unique identifier for a player. To obtain {ATHLETE_ID}, use the 'Player Metadata' endpoint above."
"Player Game Logs (Detailed Performance per Game)","https://site.web.api.espn.com/apis/common/v3/sports/football/nfl/athletes/{ATHLETE_ID}/gamelog","- {ATHLETE_ID}: Unique identifier for a player. Obtain {ATHLETE_ID} from the 'Player Metadata' endpoint."
"Team List with IDs","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/teams","N/A (This endpoint provides a list of all NFL teams and their corresponding IDs.)"
"Player Splits (Performance in Different Scenarios)","https://site.web.api.espn.com/apis/common/v3/sports/football/nfl/athletes/{ATHLETE_ID}/splits","- {ATHLETE_ID}: Unique identifier for a player. Obtain {ATHLETE_ID} from the 'Player Metadata' endpoint."
"Player Overview (General Information)","https://site.web.api.espn.com/apis/common/v3/sports/football/nfl/athletes/{ATHLETE_ID}/overview","- {ATHLETE_ID}: Unique identifier for a player. Obtain {ATHLETE_ID} from the 'Player Metadata' endpoint."
"Weekly Event IDs (List of Games in a Specific Week)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/types/{SEASONTYPE}/weeks/{WEEK_NUM}/events","- {YEAR}: The specific season year. - {SEASONTYPE}: Type of season. - {WEEK_NUM}: The week number within the season. These values are determined based on the season and week you are interested in."
"Team Statistics (Seasonal Performance Metrics)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/types/{SEASONTYPE}/teams/{TEAM_ID}/statistics","- {YEAR}: The specific season year. - {SEASONTYPE}: Type of season. - {TEAM_ID}: Unique identifier for a team. Obtain {TEAM_ID} from the 'Team List with IDs' endpoint."
"Injury Reports","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/teams/{TEAM_ID}/injuries","- {TEAM_ID}: Unique identifier for a team. Obtain {TEAM_ID} from the 'Team List with IDs' endpoint."
"Player Event Log (Participation in Events)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/athletes/{ATHLETE_ID}/eventlog","- {YEAR}: The specific season year. - {ATHLETE_ID}: Unique identifier for a player. Obtain {ATHLETE_ID} from the 'Player Metadata' endpoint."
"Player Statistics Log (Historical Performance)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/{ATHLETE_ID}/statisticslog","- {ATHLETE_ID}: Unique identifier for a player. Obtain {ATHLETE_ID} from the 'Player Metadata' endpoint."
"Free Agents (Available Players)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/freeagents","- {YEAR}: The specific season year. This endpoint provides information on free agents for the specified season."
"Draft Information (Details on Drafted Players)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/draft","- {YEAR}: The specific season year. This endpoint provides details on drafted players for the specified season."
"Draft Rounds (Specific Round Details)","https://site.web.api.espn.com/apis/v2/scoreboard/header?draft_year={YEAR}&draft_round=1","- {YEAR}: The specific draft year. This endpoint provides details on draft rounds for the specified year."
"Season Schedule (All Games in a Season)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/schedule","- {YEAR}: The specific season year. This endpoint provides the full schedule of games for the specified season."
"Weekly Talent Picks (Expert Recommendations)","https://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/{YEAR}/types/{SEASONTYPE}/weeks/{WEEK_NUM}/talentpicks?limit=100","- {YEAR}: The specific season year. - {SEASONTYPE}: Type of season. - {WEEK_NUM}: The week number within the season. These values are determined based on the season and week you are interested in."

